,price,m2,age,floor,total_room,district_encoded,neighbor_encoded
3766,41000000,275,12,2.0,6,16676002.409638554,27822727.27272728
3767,6250000,120,0,0.5,4,5297494.923337092,6343338.129496403
3768,14750000,115,0,3.0,4,18766793.31306991,17185621.62162162
3769,7250000,130,26,3.0,4,5297494.923337092,9753616.279069768
3770,5000000,90,17,1.0,3,7754128.301886792,3811666.6666666665
3771,4500000,75,31,0.0,3,18766793.31306991,12709090.909090908
3772,5375000,95,11,4.0,4,10309326.797385622,7675000.0
3773,41000000,270,5,9.0,7,18766793.31306991,28832777.777777776
3774,3600000,110,15,0.0,4,5297494.923337092,4676827.383297645
3775,7250000,135,0,3.0,4,5749051.802409639,4267661.957746479
3776,4500000,75,16,3.0,3,7736038.525691699,9211111.111111112
3777,21750000,130,32,0.0,3,20111125.68306011,24090384.615384616
3778,7450000,98,1,4.0,2,9683732.91925466,21864065.93406593
3779,5075000,96,0,1.0,3,5367273.031914894,6520022.704545454
3781,7450000,130,0,8.0,4,6559200.238609113,8573454.545454545
3782,20000000,220,6,3.0,5,16676002.409638554,24290404.04040404
3783,7750000,140,11,3.0,4,10309326.797385622,4020238.095238095
3784,4100000,90,5,1.0,3,5749051.802409639,3325714.2678571427
3786,19300000,130,5,3.0,4,18766793.31306991,17185621.62162162
3787,3250000,75,5,1.0,2,10309326.797385622,8800000.0
3788,6250000,117,11,5.0,4,3909949.1525423727,4718000.0
3789,4700000,130,0,3.0,4,3987994.5945945946,4813397.435897436
3790,4200000,120,26,3.0,4,7962301.739130435,5226666.666666667
3791,3700000,89,11,0.5,3,5848907.837837838,6450500.0
3792,5750000,140,15,3.0,4,5297494.923337092,4676827.383297645
3793,4450000,100,3,1.0,3,4059405.832635984,4810000.0
3794,4350000,100,31,1.0,3,8508896.555172414,6251428.571428572
3795,7650000,145,15,3.0,3,5547095.228571429,9243750.0
3796,3200000,150,26,3.0,4,5297494.923337092,4438371.212121212
3797,2600000,135,30,1.0,3,4547597.902097902,5049988.159763314
3801,3750000,95,50,1.0,3,10309326.797385622,5050000.0
3802,5550000,120,19,2.0,3,4254808.612440191,3666525.423728813
3803,4500000,145,10,1.0,4,4059405.832635984,3597857.07936508
3804,2550000,100,30,0.0,3,8397364.775800712,5261538.442307692
3805,3600000,120,8,10.0,3,2769582.4657534244,3258842.1052631577
3807,4350000,88,12,1.0,3,6559200.238609113,8573454.545454545
3808,2250000,68,1,4.0,2,2769582.4657534244,3419787.8484848486
3809,3650000,75,2,10.0,3,5297494.923337092,5548285.685714286
3811,8250000,95,30,3.0,3,18766793.31306991,10189857.142857144
3812,4065000,110,6,0.5,3,5749051.802409639,4039615.384615385
3813,5950000,142,25,0.0,4,7962301.739130435,7948520.599250936
3814,2250000,60,26,0.0,2,5749051.802409639,9257611.925373135
3815,41000000,240,24,3.0,5,18840772.21851852,26377954.545454547
3816,11350000,130,24,10.0,3,18766793.31306991,21011136.363636363
3818,4500000,75,8,5.0,2,5478152.10355987,5945086.956521739
3819,17950000,125,5,1.0,4,18766793.31306991,21011136.363636363
3820,5400000,63,0,3.0,2,9683732.91925466,13551096.774193548
3821,3750000,60,0,1.0,2,7754128.301886792,5215789.47368421
3822,5000000,70,31,0.5,2,11259699.059561128,10450000.0
3824,3100000,100,11,0.0,3,5297494.923337092,4676827.383297645
3826,7000000,87,1,5.0,3,10309326.797385622,8275000.0
3827,3000000,90,20,3.0,2,8397364.775800712,3658924.0506329113
3828,3199000,92,2,0.5,3,4138010.251282051,3558757.575757576
3829,4700000,95,25,0.0,3,11259699.059561128,15854853.658536583
3830,6500000,100,50,1.0,4,11259699.059561128,9708000.0
3831,2200000,70,38,2.0,2,4254808.612440191,4063465.3465346536
3832,3600000,90,36,3.0,3,5478152.10355987,5049988.159763314
3833,2350000,100,5,0.0,3,3884916.195530726,4168547.619047619
3834,2200000,75,40,0.0,2,4254808.612440191,3978888.888888889
3835,6850000,65,5,1.0,3,7962301.739130435,9074265.306122448
3837,8750000,180,0,12.0,4,9683732.91925466,5826067.567567567
3838,4200000,165,12,-2.0,4,9683732.91925466,4477352.94117647
3840,30000000,255,14,24.0,5,20111125.68306011,16373294.871794872
3841,15500000,270,20,3.0,7,16676002.409638554,7801680.541666667
3842,11000000,205,4,6.0,5,8508896.555172414,6369733.333333333
3844,4400000,120,5,0.5,4,3909949.1525423727,3479166.6666666665
3845,6500000,167,5,3.0,4,6106125.056426332,8019684.777173913
3846,6000000,120,21,5.0,4,5749051.802409639,6994235.820895523
3847,1950000,70,7,0.0,2,5297494.923337092,5730666.666666667
3849,2880000,110,28,4.0,3,4138010.251282051,6994235.820895523
3850,5450000,115,0,1.0,4,7437451.282051282,5049988.159763314
3851,14000000,150,31,3.0,4,10309326.797385622,22777777.777777776
3852,6200000,160,38,2.0,4,4254808.612440191,5826067.567567567
3853,3850000,80,50,0.0,3,18840772.21851852,11160270.27027027
3854,2700000,108,13,0.0,2,2769582.4657534244,2284526.263157895
3855,4000000,70,3,3.0,2,9683732.91925466,4300000.0
3856,12000000,120,5,1.0,4,7962301.739130435,7948520.599250936
3857,4250000,136,15,16.0,3,2769582.4657534244,4477380.952380952
3858,19950000,180,17,4.0,4,20111125.68306011,25175000.0
3859,29750000,200,26,2.0,4,18840772.21851852,25264571.42857143
3864,5500000,120,23,1.0,4,7437451.282051282,7921470.588235294
3865,2350000,70,40,3.0,2,4254808.612440191,3666525.423728813
3868,18000000,130,7,5.0,4,18766793.31306991,21011136.363636363
3869,3850000,80,4,14.0,2,4970295.55403868,6134857.085714285
3871,6850000,160,4,12.0,4,5367273.031914894,6520022.704545454
3873,21000000,150,4,0.0,4,16676002.409638554,24290404.04040404
3874,14250000,110,8,6.0,3,18766793.31306991,13471150.0
3875,9250000,105,5,2.0,3,11259699.059561128,11277812.5
3876,6000000,140,10,3.0,3,8508896.555172414,5710389.610389611
3877,7850000,100,50,3.0,3,8397364.775800712,10199500.0
3878,3000000,85,36,5.0,4,6559200.238609113,12699506.787330316
3879,5000000,85,0,-2.0,3,5749051.802409639,4438371.212121212
3880,1750000,110,16,5.0,3,5297494.923337092,4769333.333333333
3882,4500000,85,35,0.5,3,8397364.775800712,5057080.0
3883,6975000,80,6,0.0,3,7962301.739130435,9215404.624277456
3885,6100000,85,5,13.0,3,8508896.555172414,6251428.571428572
3886,29500000,145,5,4.0,4,18766793.31306991,21011136.363636363
3887,8250000,120,0,5.0,4,7437451.282051282,7430250.0
3888,4200000,105,11,1.0,3,4059405.832635984,3901777.777777778
3889,2350000,110,6,2.0,3,2769582.4657534244,2241192.821428572
3890,7600000,100,0,3.0,3,7962301.739130435,7948520.599250936
3891,27500000,160,6,9.0,4,18766793.31306991,20307026.315789472
3892,5950000,70,0,2.0,2,7962301.739130435,8532544.827586208
3893,5250000,165,11,3.0,4,5877304.964539007,6745350.0
3896,12950000,205,5,6.0,6,7437451.282051282,6545000.0
3898,2998000,105,0,1.0,3,4970295.55403868,6487466.45
3899,6900000,121,0,8.0,3,5848907.837837838,6471745.098039215
3900,2650000,80,23,3.0,3,4871095.435684647,4191666.6666666665
3901,16450000,115,7,1.0,4,18766793.31306991,21011136.363636363
3902,11750000,150,11,2.0,4,7962301.739130435,7948520.599250936
3903,9800000,125,0,3.0,4,7962301.739130435,8532544.827586208
3904,5500000,220,16,4.0,6,6559200.238609113,6188653.333333333
3905,1565000,100,10,5.0,2,2769582.4657534244,4676827.383297645
3907,20500000,130,0,13.0,4,18766793.31306991,17185621.62162162
3908,3650000,145,15,0.0,4,5367273.031914894,3491500.0
3909,41000000,275,0,4.0,6,18766793.31306991,26454424.778761063
3911,6500000,125,20,3.0,4,5848907.837837838,7428125.0
3912,7250000,118,0,5.0,4,5848907.837837838,6853333.333333333
3913,2150000,119,4,3.0,3,2769582.4657534244,2241192.821428572
3914,21950000,155,9,3.0,4,18766793.31306991,20307026.315789472
3915,12500000,160,0,4.0,4,7962301.739130435,8532544.827586208
3916,5950000,105,23,0.0,4,7962301.739130435,8532544.827586208
3917,16900000,180,0,5.0,4,11259699.059561128,15854853.658536583
3918,1450000,125,0,0.5,3,2769582.4657534244,2487814.777777778
3919,3299000,115,1,0.0,3,4970295.55403868,5269146.553333334
3920,9750000,120,7,2.0,4,7962301.739130435,7948520.599250936
3921,13750000,160,31,0.0,4,16676002.409638554,27822727.27272728
3924,6150000,140,0,2.0,4,4970295.55403868,6057293.357798165
3925,4650000,130,17,3.0,5,7340518.640677966,6367307.692307692
3926,2590000,65,8,0.5,3,6559200.238609113,4811928.571428572
3928,4450000,140,22,1.0,4,5297494.923337092,4676827.383297645
3929,3500000,90,30,2.0,3,10309326.797385622,6471745.098039215
3930,7800000,220,12,0.0,7,7340518.640677966,5800263.157894737
3931,6400000,180,0,5.0,4,6106125.056426332,4706222.804347826
3932,12500000,147,48,2.0,5,11981780.303030305,17206197.183098592
3933,3450000,170,0,3.0,5,2769582.4657534244,2766812.5
3934,6975000,112,3,0.0,4,7001761.904761905,7816666.666666667
3935,2800000,100,15,2.0,3,2769582.4657534244,7841056.338028169
3936,6750000,90,50,0.0,3,8397364.775800712,10199500.0
3938,4000000,95,2,-1.0,4,7754128.301886792,4979515.121212121
3939,4000000,121,40,1.0,2,8397364.775800712,4045456.5217391294
3940,20950000,125,0,3.0,4,18766793.31306991,17185621.62162162
3941,4300000,120,1,4.0,4,5877304.964539007,6835168.0
3942,3000000,70,13,-1.0,2,5749051.802409639,4367115.384615385
3943,23500000,250,0,9.0,7,18766793.31306991,20307026.315789472
3945,25000000,227,2,0.0,5,20111125.68306011,24458333.33333333
3946,1855000,100,5,12.0,3,2769582.4657534244,2551203.6481481483
3947,6175000,100,2,1.0,3,5297494.923337092,6343338.129496403
3949,12250000,130,4,7.0,4,7962301.739130435,9986363.636363637
3950,5000000,155,25,1.0,4,7736038.525691699,6884805.155844156
3951,3990000,60,5,8.0,2,7736038.525691699,6884805.155844156
3952,3000000,75,21,-1.0,2,8397364.775800712,5057080.0
3953,1600000,85,40,-0.5,2,4254808.612440191,3573684.210526316
3954,10500000,180,16,1.0,4,6106125.056426332,8019684.777173913
3955,20450000,100,35,1.0,4,18840772.21851852,35427272.72727273
3956,6750000,125,11,5.0,4,5478152.10355987,5030000.0
3957,8400000,90,0,0.0,3,18840772.21851852,13705463.157894736
3958,2850000,90,15,0.5,3,5297494.923337092,4438371.212121212
3959,12500000,180,30,1.0,4,8397364.775800712,7487454.545454546
3960,5500000,130,15,3.0,4,7962301.739130435,8317777.777777778
3962,11500000,110,0,1.0,3,8508896.555172414,8331538.461538462
3964,8160000,75,0,3.0,2,18840772.21851852,7868629.62962963
3965,8300000,101,0,2.0,4,8508896.555172414,6251428.571428572
3966,1450000,80,21,3.0,2,3987994.5945945946,2833333.333333333
3967,3475000,145,11,2.0,4,5367273.031914894,4257500.0
3968,3975000,90,0,1.0,3,4818179.634730539,3497714.285714286
3969,7500000,190,26,9.0,6,4254808.612440191,4063465.3465346536
3972,7450000,125,30,5.0,4,7962301.739130435,9215404.624277456
3973,6000000,81,14,6.0,2,7437451.282051282,7355370.37037037
3974,4500000,140,24,3.0,4,7437451.282051282,11038888.888888888
3975,4650000,175,5,5.0,5,4818179.634730539,4508500.0
3979,30500000,240,0,3.0,5,16676002.409638554,24290404.04040404
3980,3000000,85,11,0.0,3,5877304.964539007,4694375.0
3981,4780000,85,3,0.0,2,7962301.739130435,7841056.338028169
3983,8000000,125,0,0.0,4,5297494.923337092,6343338.129496403
3984,4000000,80,2,0.5,3,5297494.923337092,4438371.212121212
3985,7450000,180,32,5.0,4,7962301.739130435,9215404.624277456
3986,30000000,145,5,1.0,4,18766793.31306991,26454424.778761063
3987,3800000,130,21,6.0,4,4547597.902097902,7841056.338028169
3988,2900000,105,30,1.0,3,5848907.837837838,4787375.0
3989,2350000,90,7,3.0,3,3987994.5945945946,4813397.435897436
3991,5200000,130,42,1.0,4,4254808.612440191,3978888.888888889
3993,4500000,100,11,2.0,3,8011979.826612903,4676827.383297645
3994,5800000,115,0,4.0,4,5848907.837837838,5445714.285714285
3995,3600000,130,1,3.0,4,5297494.923337092,8019684.777173913
3996,10950000,60,5,11.0,2,18766793.31306991,17185621.62162162
3998,8750000,175,11,6.0,4,4970295.55403868,6134857.085714285
3999,13850000,119,5,0.0,4,18766793.31306991,20307026.315789472
4001,16500000,190,0,4.0,6,7962301.739130435,7841056.338028169
4002,4900000,120,9,3.0,3,7437451.282051282,7355370.37037037
4004,5850000,105,5,8.0,3,5848907.837837838,6450500.0
4007,3599000,115,6,2.0,3,4970295.55403868,4676827.383297645
4008,17250000,110,24,6.0,4,18766793.31306991,28832777.777777776
4009,4950000,100,1,1.0,3,4547597.902097902,5775235.294117647
4010,6750000,160,35,5.0,4,4871095.435684647,4813621.621621622
4011,7500000,110,40,9.0,3,18766793.31306991,8430000.0
4012,5800000,100,0,2.0,3,5297494.923337092,6343338.129496403
4013,6350000,85,10,0.5,3,7962301.739130435,9215404.624277456
4014,14000000,135,21,3.0,4,15576012.658227848,12500000.0
4015,5250000,85,0,0.5,3,7437451.282051282,7430250.0
4016,6450000,90,5,8.0,3,5749051.802409639,5340163.265306123
4018,16000000,145,1,5.0,5,11259699.059561128,19130555.55555556
4019,13000000,200,16,4.0,4,8397364.775800712,6540302.631578947
4021,5000000,124,16,2.0,4,9683732.91925466,5113928.571428572
4023,21450000,155,4,3.0,4,18766793.31306991,28832777.777777776
4024,4600000,80,50,3.0,3,6559200.238609113,12699506.787330316
4025,5750000,100,11,1.0,4,7437451.282051282,8462500.0
4026,5750000,95,11,3.0,3,5749051.802409639,4665867.647058823
4028,7500000,100,0,5.0,4,7437451.282051282,7430250.0
4029,2500000,75,9,0.0,2,5297494.923337092,4811928.571428572
4030,6750000,122,5,0.0,3,5848907.837837838,6471745.098039215
4031,15950000,95,10,4.0,3,18766793.31306991,21011136.363636363
4032,2900000,95,0,0.0,2,5478152.10355987,4811928.571428572
4033,4149000,84,3,1.0,3,8011979.826612903,4992842.052631579
4034,7250000,118,5,9.0,3,5367273.031914894,5359375.0
4035,9700000,185,0,5.0,6,5297494.923337092,6343338.129496403
4036,10730000,120,8,13.0,3,7962301.739130435,6826884.057971015
4037,11600000,150,31,4.0,4,18766793.31306991,8430000.0
4038,14500000,158,1,3.0,4,11259699.059561128,12699506.787330316
4039,7850000,125,26,4.0,4,18766793.31306991,6243333.333333333
4040,11900000,220,26,6.0,6,7962301.739130435,9074265.306122448
4041,7500000,160,0,3.0,5,5749051.802409639,5026250.0
4042,2950000,75,10,0.0,3,7340518.640677966,6367307.692307692
4043,5750000,110,0,0.0,3,8011979.826612903,6835168.0
4044,4290000,94,1,3.0,3,5367273.031914894,6520022.704545454
4045,5900000,115,31,3.0,4,7962301.739130435,5410937.5
4048,6900000,100,4,6.0,3,9683732.91925466,13551096.774193548
4049,5250000,90,5,-1.0,3,9683732.91925466,6419555.555555556
4050,15950000,85,14,4.0,3,18766793.31306991,21011136.363636363
4051,2050000,70,10,0.0,2,6559200.238609113,6188653.333333333
4052,7000000,160,0,3.0,5,5297494.923337092,6343338.129496403
4053,5550000,100,5,0.5,3,5848907.837837838,7428125.0
