price,m2,age,floor,total_room,district_encoded,neighbor_encoded
9400000,115,12,2.0,4,7962301.739130435,7841056.338028169
4350000,63,0,2.0,2,5877304.964539007,5730666.666666667
12000000,85,5,6.0,2,20111125.68306011,16373294.871794872
10000000,101,0,3.0,3,6559200.238609113,12699506.787330316
8450000,85,2,6.0,3,8508896.555172414,5710389.610389611
10500000,140,3,6.0,5,5848907.837837838,11314807.692307692
25950000,225,34,7.0,5,18766793.31306991,26454424.778761063
6900000,145,0,3.0,5,5367273.031914894,7909529.411764706
19750000,105,3,8.0,3,18766793.31306991,26454424.778761063
14800000,145,10,3.0,4,5367273.031914894,6520022.704545454
37500000,220,31,12.0,4,18766793.31306991,26454424.778761063
15500000,220,0,6.0,5,11259699.059561128,14020000.0
22850000,120,15,13.0,4,18766793.31306991,28832777.777777776
10000000,275,4,5.0,4,7437451.282051282,8075000.0
2900000,85,11,0.0,3,7340518.640677966,6367307.692307692
4450000,58,4,6.0,2,5749051.802409639,10140060.606060604
19900000,168,5,0.0,4,9683732.91925466,6835168.0
7500000,85,3,3.0,3,18840772.21851852,19612500.0
31000000,110,18,1.0,2,18840772.21851852,28713409.09090909
35000000,225,20,5.0,5,18840772.21851852,32659285.714285716
19750000,140,0,6.0,4,18766793.31306991,20307026.315789472
1600000,95,9,1.0,3,2769582.4657534244,2551203.6481481483
3350000,140,20,0.0,4,6559200.238609113,4249098.484848484
7700000,130,30,4.0,4,6559200.238609113,12699506.787330316
7500000,150,1,4.0,4,7754128.301886792,6326666.666666667
19750000,220,10,4.0,6,7962301.739130435,9215404.624277456
5500000,110,14,1.0,4,7962301.739130435,5809861.111111111
9350000,105,3,3.0,4,7962301.739130435,9215404.624277456
4930000,90,15,2.0,3,7962301.739130435,5809861.111111111
41000000,260,0,12.0,6,18766793.31306991,20307026.315789472
4500000,150,26,1.0,4,4970295.55403868,4676827.383297645
2525000,125,26,1.0,4,4138010.251282051,6994235.820895523
34000000,200,35,2.0,4,18840772.21851852,33583333.333333336
17000000,165,40,5.0,4,8397364.775800712,19534782.60869565
1800000,110,30,-0.5,3,4547597.902097902,3187916.6666666665
12100000,180,5,7.0,5,5749051.802409639,10140060.606060604
14000000,101,1,15.0,3,5749051.802409639,9257611.925373135
19500000,240,2,4.0,7,6559200.238609113,12699506.787330316
14750000,110,0,3.0,4,18766793.31306991,17185621.62162162
4500000,120,11,2.0,4,5297494.923337092,4676827.383297645
17900000,145,4,5.0,4,18766793.31306991,15964615.384615384
13850000,125,6,0.0,4,18766793.31306991,20307026.315789472
13450000,90,15,1.0,2,18766793.31306991,26454424.778761063
5451642,97,0,0.0,3,5848907.837837838,5276792.333333333
10250000,140,31,2.0,4,8397364.775800712,10199500.0
28500000,250,12,0.0,4,20111125.68306011,24458333.33333333
3750000,83,0,2.0,3,4818179.634730539,4706222.804347826
3050000,100,7,0.0,3,4970295.55403868,5565384.615384615
5200000,95,40,1.0,3,6559200.238609113,12699506.787330316
6750000,180,2,4.0,6,9683732.91925466,5826067.567567567
15600000,87,0,3.0,3,20111125.68306011,28284615.384615384
18250000,135,8,12.0,4,18766793.31306991,11202090.0
13450000,90,12,1.0,2,18766793.31306991,26454424.778761063
19900000,190,24,2.0,5,16676002.409638554,27822727.272727277
11000000,145,15,12.0,4,16676002.409638554,24290404.04040404
25950000,140,0,3.0,4,16676002.409638554,23006896.55172414
8900000,170,31,2.0,4,18766793.31306991,13471150.0
17250000,130,5,6.0,4,18766793.31306991,21011136.363636363
21000000,190,10,15.0,5,5478152.10355987,4884594.567567567
10300000,160,3,6.0,5,5848907.837837838,11314807.692307692
7000000,135,7,3.0,4,8011979.826612903,5136428.571428572
14500000,115,0,3.0,4,6559200.238609113,12699506.787330316
8750000,180,1,5.0,6,6559200.238609113,4462624.113475177
10500000,120,0,0.0,4,6559200.238609113,12699506.787330316
3650000,75,2,5.0,2,4970295.55403868,6057293.357798165
6350000,100,5,0.0,3,7962301.739130435,7841056.338028169
12900000,130,6,4.0,4,7962301.739130435,9986363.636363637
7900000,145,30,2.0,4,7962301.739130435,8317777.777777778
6950000,90,6,4.0,3,7962301.739130435,8532544.827586208
6950000,95,0,0.0,3,7962301.739130435,7948520.599250936
5500000,65,5,0.0,2,7962301.739130435,9215404.624277456
4450000,70,2,0.0,2,7962301.739130435,7948520.599250936
3975000,65,7,2.0,2,7962301.739130435,5809861.111111111
2175000,85,21,6.0,3,8397364.775800712,3658924.0506329113
6950000,210,11,5.0,6,6559200.238609113,4676827.383297645
33000000,110,5,3.0,3,8397364.775800712,33725000.0
41000000,160,40,4.0,4,8397364.775800712,33725000.0
2775000,70,39,2.0,3,4254808.612440191,4063465.3465346536
1450000,80,35,0.0,3,4254808.612440191,3573684.210526316
3300000,110,1,2.0,3,4970295.55403868,6057293.357798165
4350000,80,0,4.0,3,5877304.964539007,6745350.0
12490000,95,35,0.0,3,18840772.21851852,28713409.09090909
2200000,155,30,0.0,3,4254808.612440191,4128181.8181818174
3990000,70,44,4.0,2,7437451.282051282,14119187.5
8100000,200,18,5.0,6,5848907.837837838,5445714.285714285
6750000,176,48,3.0,5,16676002.409638554,4201666.625
8250000,140,20,1.0,4,9683732.91925466,21864065.93406593
16100000,160,3,2.0,4,20111125.68306011,17206197.183098592
5500000,67,50,3.0,2,18840772.21851852,8195454.545454546
7475000,177,5,3.0,3,7437451.282051282,5049988.159763314
5100000,180,17,3.0,5,5848907.837837838,3660818.1818181816
5400000,105,11,0.5,3,8508896.555172414,6369733.333333333
4185000,90,0,3.0,3,3987994.5945945946,4535961.538461538
6150000,190,9,4.0,6,4970295.55403868,5269146.553333334
4300000,90,7,3.0,3,9683732.91925466,13551096.774193548
2350000,100,8,3.0,3,4970295.55403868,4676827.383297645
5499999,180,8,3.0,5,5367273.031914894,4884594.567567567
3800000,70,5,0.5,2,9683732.91925466,15495000.0
23900000,130,4,8.0,4,18766793.31306991,21011136.363636363
3200000,65,3,7.0,2,5749051.802409639,3768709.677419354
11850000,240,5,5.0,6,5547095.228571429,9243750.0
2900000,95,31,3.0,3,5478152.10355987,5041428.571428572
4200000,95,11,2.0,3,5478152.10355987,4833846.153846154
3250000,90,31,5.0,3,5547095.228571429,8475000.0
41000000,275,3,13.0,5,7754128.301886792,26258823.529411763
7150000,100,0,3.0,4,9683732.91925466,15495000.0
8350000,115,5,3.0,3,9683732.91925466,15495000.0
19750000,130,0,6.0,4,18766793.31306991,20307026.315789472
4200000,85,8,1.0,2,7437451.282051282,5049988.159763314
12250000,110,7,11.0,3,18766793.31306991,16348132.231404958
22950000,140,4,0.5,3,18766793.31306991,26454424.778761063
31950000,205,4,10.0,6,18766793.31306991,21011136.363636363
4950000,80,5,5.0,2,7437451.282051282,5049988.159763314
14000000,140,5,0.0,3,9683732.91925466,15495000.0
14900000,142,4,18.0,4,7437451.282051282,14119187.5
8800000,90,0,7.0,3,18766793.31306991,9520094.33962264
15250000,97,12,1.0,3,18766793.31306991,15964615.384615384
7700000,270,4,4.0,7,5297494.923337092,4676827.383297645
5700000,170,0,4.0,5,5297494.923337092,4676827.383297645
5445000,245,5,3.0,5,5367273.031914894,4257500.0
4499000,100,5,2.0,3,5367273.031914894,3491500.0
5000000,140,8,4.0,4,4970295.55403868,4896611.111111111
2250000,110,28,0.5,3,5749051.802409639,5525100.0
8000000,80,5,0.0,3,6559200.238609113,12699506.787330316
16450000,115,5,1.0,4,18766793.31306991,11202090.0
8950000,170,3,5.0,6,7437451.282051282,6826884.057971015
10500000,120,7,2.0,4,11259699.059561128,6835168.0
16450000,95,6,1.0,4,18766793.31306991,11202090.0
5975000,65,6,0.0,2,7962301.739130435,9215404.624277456
19750000,200,0,9.0,5,18766793.31306991,21011136.363636363
4150000,130,26,3.0,4,7962301.739130435,5226666.666666667
24500000,165,32,11.0,5,18766793.31306991,17185621.62162162
2200000,75,13,-0.5,3,5547095.228571429,4979515.121212121
13550000,141,29,9.0,4,8508896.555172414,8019684.777173913
19500000,130,1,8.0,4,18766793.31306991,21011136.363636363
8450000,80,1,3.0,3,7962301.739130435,8532544.827586208
10475000,110,4,1.0,4,7962301.739130435,9215404.624277456
6750000,170,8,4.0,5,4138010.251282051,7672148.4375
2835000,96,14,20.0,3,2769582.4657534244,2551203.6481481483
8590000,95,0,4.0,3,7962301.739130435,7841056.338028169
6190000,130,35,1.0,4,8397364.775800712,6994235.820895523
4350000,127,12,3.0,4,2769582.4657534244,3074090.0
2298000,110,8,3.0,3,7736038.525691699,6884805.155844156
7750000,130,31,6.0,4,18766793.31306991,8770657.894736841
9900000,80,0,1.0,3,7962301.739130435,7948520.599250936
11500000,130,13,4.0,4,7340518.640677966,7957142.857142857
4500000,85,3,1.0,3,5478152.10355987,5614166.666666667
9050000,106,4,6.0,2,16676002.409638554,11431250.0
4750000,60,0,0.0,2,7962301.739130435,8532544.827586208
2399000,90,1,1.0,2,4970295.55403868,6057293.357798165
11000000,101,1,2.0,2,7962301.739130435,9986363.636363637
24500000,175,31,11.0,5,18766793.31306991,28832777.777777776
2950000,150,0,3.0,4,2769582.4657534244,2831272.727272727
12000000,240,10,0.0,6,6106125.056426332,8019684.777173913
4550000,80,16,3.0,3,7340518.640677966,7626428.571428572
9400000,175,16,3.0,4,7736038.525691699,6884805.155844156
18000000,140,8,4.0,3,10309326.797385622,9243750.0
5950000,120,0,3.0,4,3909949.1525423727,3547976.1904761903
2030000,105,0,0.0,3,2769582.4657534244,2719000.0
1450000,80,0,3.0,2,4970295.55403868,4676827.383297645
6200000,85,0,1.0,3,11259699.059561128,15475294.11764706
23900000,275,18,9.0,7,18766793.31306991,15964615.384615384
39950000,230,19,1.0,5,18766793.31306991,21011136.363636363
17950000,130,7,1.0,4,18766793.31306991,21011136.363636363
5750000,140,0,5.0,4,5297494.923337092,4676827.383297645
5150000,140,16,0.5,4,9683732.91925466,5651666.666666667
20950000,135,8,10.0,4,18766793.31306991,21011136.363636363
39950000,260,23,1.0,5,18766793.31306991,16348132.231404958
6675000,150,16,4.0,4,5848907.837837838,7428125.0
12000000,160,31,5.0,4,18766793.31306991,20307026.315789472
18250000,130,7,10.0,4,18766793.31306991,21011136.363636363
9250000,83,5,12.0,2,7340518.640677966,9235714.285714284
1799999,105,4,2.0,3,2769582.4657534244,2551203.6481481483
2575000,115,30,4.0,4,7437451.282051282,5049988.159763314
13150000,116,0,4.0,4,18766793.31306991,9520094.33962264
11950000,75,0,6.0,3,18766793.31306991,20307026.315789472
9250000,90,0,3.0,3,7962301.739130435,7948520.599250936
6100000,90,15,3.0,3,11259699.059561128,5315957.44680851
18850000,105,0,7.0,3,18766793.31306991,21011136.363636363
15350000,100,0,2.0,3,18766793.31306991,21011136.363636363
2800000,145,30,12.0,4,4547597.902097902,7841056.338028169
5000000,200,0,5.0,5,3987994.5945945946,3598055.5555555555
1500000,80,29,5.0,2,5749051.802409639,4039615.384615385
3000000,60,40,0.0,2,18840772.21851852,10476923.076923076
6500000,270,16,9.0,5,20111125.68306011,21143846.153846152
6500000,198,8,9.0,3,2769582.4657534244,4676827.383297645
2600000,85,25,0.0,6,10309326.797385622,6471745.098039215
2985000,105,7,1.0,3,3987994.5945945946,6835168.0
3950000,90,0,0.5,3,5749051.802409639,9257611.925373135
5300000,87,0,2.0,3,5848907.837837838,6471745.098039215
8300000,90,0,3.0,3,7962301.739130435,9215404.624277456
1450000,60,20,0.0,2,5749051.802409639,3768709.677419354
5750000,85,10,1.0,3,7340518.640677966,5800263.157894737
7550000,84,5,3.0,3,7962301.739130435,7841056.338028169
5950000,70,0,0.0,3,7962301.739130435,7948520.599250936
18250000,130,8,10.0,4,18766793.31306991,21011136.363636363
11750000,190,34,4.0,5,7962301.739130435,8532544.827586208
1450000,55,13,3.0,3,2769582.4657534244,3409197.662790697
23000000,150,0,7.0,4,18766793.31306991,20307026.315789472
3300000,75,50,2.0,3,5297494.923337092,4438371.212121212
1750000,80,35,0.0,3,4871095.435684647,6994235.820895523
6200000,150,0,6.0,6,4818179.634730539,8514000.0
6100000,180,8,3.0,4,2769582.4657534244,4676827.383297645
3200000,170,30,5.0,4,5297494.923337092,4676827.383297645
1450000,65,10,-0.5,4,2769582.4657534244,2699238.095238095
5800000,90,10,2.0,3,5749051.802409639,9257611.925373135
6500000,90,0,2.0,3,8508896.555172414,5710389.610389611
1800000,110,35,2.0,4,4138010.251282051,3539500.0
3200000,60,0,0.0,2,6559200.238609113,4676827.383297645
2750000,90,15,0.5,3,4547597.902097902,6994235.820895523
39000000,170,4,3.0,4,18840772.21851852,19328387.06451613
2750000,78,45,3.0,3,4254808.612440191,4012796.610169492
10800000,70,0,1.0,3,18840772.21851852,13988888.888888888
3250000,115,2,4.0,3,4970295.55403868,1957914.2571428567
9400000,220,8,3.0,6,5297494.923337092,4442812.5
12500000,77,4,1.0,3,18766793.31306991,11202090.0
3650000,90,2,4.0,3,3987994.5945945946,3168571.4285714286
10000000,145,0,12.0,6,11259699.059561128,4676827.383297645
2950000,95,5,0.5,3,5367273.031914894,5057080.0
34000000,193,35,3.0,4,20111125.68306011,23475000.0
4390000,80,0,3.0,3,6559200.238609113,4988341.164705883
7650000,85,12,3.0,3,7962301.739130435,7841056.338028169
7000000,108,16,1.0,3,8397364.775800712,6540302.631578947
16500000,140,12,9.0,4,16676002.409638554,10557678.57142857
6500000,145,6,1.0,4,5297494.923337092,6343338.129496403
17950000,90,5,1.0,3,18766793.31306991,21011136.363636363
7300000,142,4,4.0,4,5749051.802409639,4665867.647058823
4100000,60,0,0.5,2,7962301.739130435,5226666.666666667
18000000,230,0,4.0,6,7962301.739130435,7841056.338028169
7500000,90,0,2.0,3,7962301.739130435,7948520.599250936
10750000,250,27,4.0,5,7962301.739130435,7948520.599250936
9800000,120,0,3.0,4,7962301.739130435,8532544.827586208
3350000,85,6,3.0,2,7736038.525691699,6884805.155844156
31250000,250,6,0.0,6,11259699.059561128,12709090.909090908
5105000,98,1,4.0,3,6106125.056426332,4985714.285714285
14250000,138,14,24.0,3,8508896.555172414,8019684.777173913
5750000,90,2,4.0,3,7437451.282051282,7921470.588235294
4250000,90,0,0.5,3,5547095.228571429,6063035.714285715
6189000,180,20,12.0,4,4970295.55403868,6057293.357798165
25750000,250,8,12.0,5,18766793.31306991,20307026.315789472
33600000,140,12,4.0,4,18840772.21851852,8514000.0
1450000,85,5,3.0,2,2769582.4657534244,2551203.6481481483
11300000,130,0,5.0,3,8397364.775800712,11202090.0
39700000,254,16,2.0,5,9683732.91925466,21864065.93406593
4150000,90,12,0.5,3,8508896.555172414,5710389.610389611
7750000,95,0,4.0,3,7962301.739130435,9215404.624277456
12555000,115,6,0.5,4,8397364.775800712,6418684.210526316
6750000,130,41,3.0,4,18766793.31306991,10494230.76923077
4275000,95,30,3.0,3,8397364.775800712,3658924.0506329113
4200000,128,12,12.0,4,5848907.837837838,5445714.285714285
27500000,120,7,1.0,3,8397364.775800712,19534782.60869565
7200000,75,4,2.0,3,7962301.739130435,8317777.777777778
2850000,55,10,0.5,2,5749051.802409639,3768709.677419354
5110000,150,7,1.0,5,7340518.640677966,7470257.142857143
8250000,150,30,2.0,4,8397364.775800712,10352631.578947367
27950000,150,12,6.0,4,18766793.31306991,20307026.315789472
8590000,125,0,4.0,3,7962301.739130435,7841056.338028169
3550000,80,0,1.0,3,5749051.802409639,5049988.159763314
11499000,180,26,1.0,5,8397364.775800712,6772875.166666667
6000000,85,0,3.0,3,6106125.056426332,8019684.777173913
3100000,80,9,0.0,3,5749051.802409639,4665867.647058823
7200000,110,7,0.0,3,8397364.775800712,6994235.820895523
5250000,95,35,0.0,3,4871095.435684647,6215217.391304348
7300000,80,0,1.0,3,7962301.739130435,8532544.827586208
27500000,160,5,9.0,4,18766793.31306991,20307026.315789472
9350000,102,5,2.0,3,7962301.739130435,9215404.624277456
5850000,145,4,3.0,4,5749051.802409639,4665867.647058823
5450000,90,5,8.0,3,7962301.739130435,5226666.666666667
11750000,150,15,3.0,4,7962301.739130435,7948520.599250936
9350000,100,4,2.0,3,7962301.739130435,9215404.624277456
6650000,80,5,0.0,3,7962301.739130435,7948520.599250936
5250000,85,6,0.5,2,7962301.739130435,6870747.126436782
6250000,95,1,2.0,3,5547095.228571429,6063035.714285715
2725000,101,10,3.0,3,2769582.4657534244,2551203.6481481483
27000000,130,5,9.0,3,18840772.21851852,11160270.27027027
1450000,75,5,4.0,2,2769582.4657534244,4676827.383297645
6750000,125,0,4.0,4,5297494.923337092,6343338.129496403
1950000,85,28,6.0,3,6559200.238609113,4462624.113475177
12300000,85,0,8.0,3,18766793.31306991,20307026.315789472
13950000,83,0,7.0,3,18766793.31306991,17185621.62162162
4040000,120,0,0.5,3,3987994.5945945946,4813397.435897436
9680000,160,23,2.0,4,7962301.739130435,8532544.827586208
21500000,160,30,0.0,4,20111125.68306011,24090384.615384616
16950000,120,17,0.5,4,18766793.31306991,20307026.315789472
3975000,75,40,3.0,3,18840772.21851852,7868629.62962963
2480000,85,10,0.5,3,4138010.251282051,7672148.4375
5600000,60,45,1.0,2,10309326.797385622,6525000.0
2750000,85,50,4.0,3,4254808.612440191,3666525.423728813
3580000,95,12,3.0,3,2769582.4657534244,2649363.636363636
4850000,150,45,1.0,5,4254808.612440191,4012796.610169492
3650000,90,34,6.0,3,5749051.802409639,6577302.325581395
4050000,135,0,3.0,4,4818179.634730539,3637062.5
3700000,125,5,0.5,4,7437451.282051282,5049988.159763314
3000000,95,30,3.0,3,3909949.1525423727,3014285.714285714
7700000,115,13,0.0,4,8508896.555172414,8331538.461538462
3150000,65,31,2.0,3,11259699.059561128,10905714.285714284
18900000,196,11,4.0,5,9683732.91925466,21864065.93406593
13250000,180,30,0.0,5,16676002.409638554,24290404.04040404
16750000,200,0,4.0,5,7962301.739130435,7948520.599250936
14200000,110,2,0.0,3,18766793.31306991,26454424.778761063
8000000,130,25,-1.0,4,18840772.21851852,7868629.62962963
12900000,145,0,4.0,5,7962301.739130435,9215404.624277456
6200000,160,0,5.0,5,4138010.251282051,3517362.068965517
8750000,90,4,3.0,3,7962301.739130435,7948520.599250936
6750000,90,0,0.0,3,7962301.739130435,7841056.338028169
12700000,90,15,1.0,2,9683732.91925466,21864065.93406593
1679000,89,7,3.0,2,4970295.55403868,4676827.383297645
7700000,90,12,3.0,3,7962301.739130435,7948520.599250936
12000000,150,0,4.0,4,7962301.739130435,8532544.827586208
3850000,90,5,0.5,3,5547095.228571429,5675000.0
13250000,85,50,-1.0,3,10309326.797385622,17536538.46153846
1450000,170,0,1.0,5,4970295.55403868,1957914.2571428567
4500000,150,21,4.0,4,6106125.056426332,7750904.714285715
3850000,75,0,-1.0,2,18840772.21851852,10476923.076923076
5250000,95,6,1.0,3,5297494.923337092,4590144.913043479
1950000,110,50,4.0,3,5749051.802409639,4267661.957746479
2650000,100,28,3.0,3,4871095.435684647,4610769.230769231
4100000,110,0,3.0,3,3987994.5945945946,4813397.435897436
24500000,148,8,8.0,4,18766793.31306991,28832777.777777776
9500000,85,0,1.0,3,6559200.238609113,12699506.787330316
2700000,110,31,1.0,3,4871095.435684647,4813621.621621622
4175000,130,5,1.0,4,6106125.056426332,4510714.285714285
2490000,90,16,0.5,3,4138010.251282051,3517362.068965517
16250000,125,10,3.0,4,18766793.31306991,11202090.0
7500000,205,0,5.0,5,5478152.10355987,4833846.153846154
3450000,105,24,1.0,3,5478152.10355987,3784000.0
4500000,95,0,4.0,3,5367273.031914894,4257500.0
9600000,115,9,3.0,3,8508896.555172414,8019684.777173913
4850000,95,0,3.0,3,4138010.251282051,3539500.0
6380000,55,0,3.0,2,7962301.739130435,8532544.827586208
9100000,110,3,4.0,4,7962301.739130435,8532544.827586208
12900000,130,4,7.0,4,7962301.739130435,9986363.636363637
24300000,165,19,1.0,5,18766793.31306991,20307026.315789472
1679000,90,6,3.0,2,4970295.55403868,4676827.383297645
4750000,83,0,3.0,3,5749051.802409639,4665867.647058823
11900000,125,5,2.0,4,9683732.91925466,21864065.93406593
12500000,95,0,5.0,3,18766793.31306991,15964615.384615384
4000000,82,0,3.0,3,6559200.238609113,4988341.164705883
4780000,95,3,0.0,2,7962301.739130435,7841056.338028169
4780000,55,8,0.0,2,7962301.739130435,7841056.338028169
3300000,80,11,0.5,3,3987994.5945945946,4813397.435897436
6000000,90,30,3.0,3,18766793.31306991,16348132.231404958
4650000,160,16,1.0,4,4138010.251282051,3517362.068965517
8450000,245,0,3.0,7,5478152.10355987,6870747.126436782
2270000,90,10,-1.0,3,5478152.10355987,3784000.0
3650000,90,0,0.0,3,6559200.238609113,4462624.113475177
5500000,105,15,1.0,4,7962301.739130435,5809861.111111111
11250000,125,7,3.0,4,7962301.739130435,9215404.624277456
6150000,130,28,0.5,4,7962301.739130435,7841056.338028169
6250000,140,32,2.0,4,7962301.739130435,8532544.827586208
26000000,140,6,10.0,4,18766793.31306991,26454424.778761063
7900000,132,31,4.0,4,8397364.775800712,6994235.820895523
5000000,155,16,4.0,4,6106125.056426332,4956125.0
2780000,95,31,1.0,3,4871095.435684647,3137142.8571428573
3600000,90,0,3.0,3,2769582.4657534244,5057080.0
6850000,115,0,1.0,4,5478152.10355987,6870747.126436782
6600000,120,27,2.0,4,7962301.739130435,9215404.624277456
1490000,100,11,4.0,3,4138010.251282051,2551203.6481481483
5500000,145,26,4.0,4,5297494.923337092,6343338.129496403
10500000,110,1,3.0,4,7962301.739130435,7841056.338028169
7250000,90,0,2.0,3,7962301.739130435,9215404.624277456
13500000,165,0,4.0,6,7962301.739130435,9074265.306122448
7500000,80,0,0.0,3,7962301.739130435,8532544.827586208
4500000,95,35,0.0,3,4871095.435684647,6215217.391304348
2500000,81,6,-1.0,3,9683732.91925466,6994235.820895523
6500000,62,1,5.0,2,7754128.301886792,26258823.529411763
1450000,90,28,0.5,3,6559200.238609113,4988341.164705883
1600000,100,26,0.0,3,4138010.251282051,6994235.820895523
1790000,100,11,0.0,3,4138010.251282051,3517362.068965517
2900000,130,26,1.0,4,4871095.435684647,6994235.820895523
14750000,220,0,4.0,6,7962301.739130435,7841056.338028169
7250000,145,0,2.0,4,6106125.056426332,4676827.383297645
3950000,95,31,3.0,2,7340518.640677966,8964375.0
17500000,120,21,12.0,4,18766793.31306991,21011136.363636363
