price,m2,age,floor,total_room,district_encoded,neighbor_encoded
2229999,110,0,1.0,3,4970295.55403868,6487466.45
2650000,90,0,4.0,2,2769582.4657534244,2487814.777777778
3449999,130,0,2.0,3,4970295.55403868,6057293.357798165
5475000,125,21,4.0,3,5848907.837837838,7428125.0
3450980,110,0,1.0,2,4970295.55403868,6057293.357798165
8250000,70,0,1.0,3,7962301.739130435,8532544.827586208
3350000,155,0,2.0,4,4970295.55403868,6057293.357798165
3599000,220,0,3.0,4,4970295.55403868,6487466.45
3000000,115,0,2.0,3,4970295.55403868,6057293.357798165
2199999,120,0,3.0,3,4970295.55403868,6057293.357798165
3899999,160,0,1.0,4,4970295.55403868,6487466.45
2650000,105,0,1.0,3,4970295.55403868,5269146.553333334
2883000,115,0,3.0,3,4970295.55403868,6057293.357798165
4999000,125,0,2.0,3,4970295.55403868,6057293.357798165
2450000,100,0,1.0,3,4970295.55403868,1957914.2571428567
5550000,180,11,5.0,4,4970295.55403868,6057293.357798165
3050000,120,0,2.0,3,4970295.55403868,3526234.2890625
2999000,100,0,2.0,3,4970295.55403868,6057293.357798165
4999000,180,0,3.0,5,4970295.55403868,6057293.357798165
3749000,120,0,3.0,3,4970295.55403868,6057293.357798165
5570000,185,5,8.0,4,4970295.55403868,6057293.357798165
13000000,120,3,0.5,4,8397364.775800712,7487454.545454546
3600000,80,4,0.0,3,5877304.964539007,3320000.0
11350000,270,10,5.0,6,5877304.964539007,5730666.666666667
5039999,180,10,6.0,4,4970295.55403868,6134857.085714285
3399999,190,0,0.0,5,4970295.55403868,6057293.357798165
1450000,95,3,0.0,2,2769582.4657534244,4107124.9583333335
1680000,90,0,4.0,2,4970295.55403868,4676827.383297645
11750000,115,0,2.0,4,11259699.059561128,11277812.5
2699999,115,0,2.0,3,4970295.55403868,1957914.2571428567
6849999,220,0,3.0,7,4970295.55403868,5269146.553333334
2799999,90,0,0.0,2,4970295.55403868,6057293.357798165
4950000,85,0,2.0,3,4871095.435684647,4191666.6666666665
14000000,150,35,1.0,4,18840772.21851852,19612500.0
38000000,210,15,3.0,4,9683732.91925466,21864065.93406593
39000000,180,4,1.0,4,18766793.31306991,28832777.777777776
30750000,240,11,0.0,5,20111125.68306011,24458333.33333333
3999999,160,0,2.0,4,4970295.55403868,6057293.357798165
3749999,160,0,6.0,4,4970295.55403868,6134857.085714285
2350000,110,10,3.0,3,4970295.55403868,4676827.383297645
1658000,110,4,3.0,3,2769582.4657534244,4107124.9583333335
2790000,110,1,1.0,3,4970295.55403868,4676827.383297645
1569999,80,7,3.0,2,4970295.55403868,4676827.383297645
4750000,139,19,3.0,4,3909949.1525423727,3547976.1904761903
2199999,110,5,2.0,3,2769582.4657534244,2551203.6481481483
6299999,180,10,0.0,4,4970295.55403868,6057293.357798165
3979999,165,0,3.0,4,4970295.55403868,6057293.357798165
1750000,110,16,2.0,2,2769582.4657534244,3785787.8484848486
2600000,105,0,4.0,3,4970295.55403868,4676827.383297645
2999999,115,5,2.0,3,4970295.55403868,6057293.357798165
4999999,150,0,1.0,4,4970295.55403868,6057293.357798165
4799999,175,0,2.0,4,4970295.55403868,5269146.553333334
5300000,140,5,2.0,3,4970295.55403868,6057293.357798165
4790000,190,0,7.0,4,4970295.55403868,6134857.085714285
1450000,80,4,6.0,2,2769582.4657534244,2551203.6481481483
2300000,115,4,10.0,3,4970295.55403868,3955500.0
6750000,160,20,7.0,4,4970295.55403868,6057293.357798165
3999000,100,0,1.0,3,4970295.55403868,6057293.357798165
3649000,125,0,3.0,3,4970295.55403868,6057293.357798165
1500000,90,5,0.0,3,2769582.4657534244,3785787.8484848486
3180000,110,5,2.0,3,2769582.4657534244,2284526.263157895
2775000,110,5,4.0,3,2769582.4657534244,2551203.6481481483
12800000,95,5,4.0,3,18766793.31306991,17185621.62162162
8750000,200,6,0.0,6,4970295.55403868,6794736.52631579
2225000,109,4,2.0,3,4970295.55403868,3526234.2890625
2935000,110,5,3.0,3,4970295.55403868,1957914.2571428567
2099999,130,8,3.0,3,2769582.4657534244,2304849.7333333334
1899000,105,2,1.0,3,2769582.4657534244,2241192.821428572
2400000,210,5,0.5,4,2769582.4657534244,2487814.777777778
3190000,203,0,0.0,6,2769582.4657534244,3901777.777777778
2475000,105,0,2.0,3,4970295.55403868,1957914.2571428567
5950000,85,4,12.0,3,9683732.91925466,15495000.0
1580000,125,0,0.0,4,2769582.4657534244,2347083.333333333
29500000,90,50,1.0,3,18840772.21851852,25311428.57142857
33000000,100,40,3.0,2,8397364.775800712,33725000.0
4000000,110,35,2.0,3,4254808.612440191,4063465.3465346536
5500000,70,0,1.0,2,11259699.059561128,15854853.658536583
24000000,220,0,5.0,7,11259699.059561128,12699506.787330316
5975000,65,4,0.0,2,7962301.739130435,9215404.624277456
16500000,165,0,5.0,4,7962301.739130435,7948520.599250936
16750000,160,4,6.0,4,7962301.739130435,8532544.827586208
4400000,95,0,0.5,3,6559200.238609113,4988341.164705883
3300000,115,16,0.0,3,8508896.555172414,5710389.610389611
2725000,100,31,5.0,3,9683732.91925466,4235833.333333333
3800000,85,26,2.0,3,5547095.228571429,8475000.0
26000000,155,0,1.0,4,11259699.059561128,30250000.0
4400000,105,12,1.0,3,5749051.802409639,4267661.957746479
13450000,125,4,2.0,4,7962301.739130435,9215404.624277456
41000000,198,0,5.0,5,18840772.21851852,29218750.0
38500000,159,6,0.0,3,20111125.68306011,25175000.0
12500000,175,0,4.0,5,7962301.739130435,7948520.599250936
11000000,115,0,1.0,4,7962301.739130435,8532544.827586208
