price,m2,age,floor,district,neighbor,total_room
9400000,115,12,2.0,Maltepe,Çınar Mah.,4
4350000,63,0,2.0,Tuzla,İstasyon Mah.,2
12000000,85,5,6.0,Sarıyer,Maslak Mah.,2
10000000,101,0,3.0,Bahçelievler,Bahçelievler Mah.,3
8450000,85,2,6.0,Ataşehir,İçerenköy Mah.,3
10500000,140,3,6.0,Pendik,Batı Mah.,5
25950000,225,34,7.0,Kadıköy,Fenerbahçe Mah.,5
6900000,145,0,3.0,Sancaktepe,Meclis Mah.,5
19750000,105,3,8.0,Kadıköy,Fenerbahçe Mah.,3
14800000,145,10,3.0,Sancaktepe,Abdurrahmangazi Mah.,4
37500000,220,31,12.0,Kadıköy,Fenerbahçe Mah.,4
15500000,220,0,6.0,Üsküdar,Küçüksu Mah.,5
22850000,120,15,13.0,Kadıköy,Caddebostan Mah.,4
10000000,293,4,5.0,Kartal,Topselvi Mah.,4
2900000,85,11,0.0,Ümraniye,Esenevler Mah.,3
4450000,58,4,6.0,Kağıthane,Hamidiye Mah.,2
19900000,168,5,0.0,Eyüpsultan,Mimar Sinan Mah.,4
7500000,85,3,3.0,Beşiktaş,Konaklar Mah.,3
31000000,110,18,1.0,Beşiktaş,Etiler Mah.,2
35000000,225,20,5.0,Beşiktaş,Ulus Mah.,5
19750000,140,0,6.0,Kadıköy,Erenköy Mah.,4
1600000,95,9,1.0,Esenyurt,Yeşilkent Mah.,3
3350000,140,20,0.0,Bahçelievler,Soğanlı Mah.,4
7700000,130,30,4.0,Bahçelievler,Bahçelievler Mah.,4
7500000,150,1,4.0,Zeytinburnu,Nuripaşa Mah.,4
19750000,220,10,4.0,Maltepe,İdealtepe Mah.,6
5500000,110,14,1.0,Maltepe,Aydınevler Mah.,4
9350000,105,3,3.0,Maltepe,İdealtepe Mah.,4
4930000,90,15,2.0,Maltepe,Aydınevler Mah.,3
60000000,260,0,12.0,Kadıköy,Erenköy Mah.,6
4500000,150,26,1.0,Beylikdüzü,Cumhuriyet Mah.,4
2525000,125,26,1.0,Avcılar,Merkez Mah.,4
34000000,200,35,2.0,Beşiktaş,Balmumcu Mah.,4
17000000,165,40,5.0,Şişli,Teşvikiye Mah.,4
1800000,110,30,-0.5,Bağcılar,Kemalpaşa Mah.,3
12100000,180,5,7.0,Kağıthane,Hamidiye Mah.,5
14000000,101,1,15.0,Kağıthane,Seyrantepe Mah.,3
19500000,240,2,4.0,Bahçelievler,Bahçelievler Mah.,7
14750000,110,0,3.0,Kadıköy,Göztepe Mah.,4
4500000,120,11,2.0,Küçükçekmece,Cumhuriyet Mah.,4
17900000,145,4,5.0,Kadıköy,Feneryolu Mah.,4
13850000,125,6,0.0,Kadıköy,Erenköy Mah.,4
13450000,90,15,1.0,Kadıköy,Fenerbahçe Mah.,2
5451642,97,0,0.0,Pendik,Velibaba Mah.,3
10250000,140,31,2.0,Şişli,Fulya Mah.,4
28500000,250,12,0.0,Sarıyer,Uskumruköy Mah.,4
3750000,83,0,2.0,Sultanbeyli,Fatih Mah.,3
3050000,100,7,0.0,Beylikdüzü,Dereağzı Mah.,3
5200000,95,40,1.0,Bahçelievler,Bahçelievler Mah.,3
6750000,180,2,4.0,Eyüpsultan,Akşemsettin Mah.,6
15600000,87,0,3.0,Sarıyer,Ferahevler Mah.,3
18250000,135,8,12.0,Kadıköy,19 Mayıs Mah.,4
13450000,90,12,1.0,Kadıköy,Fenerbahçe Mah.,2
19900000,190,24,2.0,Bakırköy,Basınköy Mah.,5
11000000,145,15,12.0,Bakırköy,Şenlikköy Mah.,4
25950000,140,0,3.0,Bakırköy,Yeşilyurt Mah.,4
8900000,170,31,2.0,Kadıköy,Kozyatağı Mah.,4
17250000,130,5,6.0,Kadıköy,Suadiye Mah.,4
21000000,190,10,15.0,Gaziosmanpaşa,Mevlana Mah.,5
10300000,160,3,6.0,Pendik,Batı Mah.,5
7000000,135,7,3.0,Çekmeköy,Soğukpınar Mah.,4
14500000,115,0,3.0,Bahçelievler,Bahçelievler Mah.,4
8750000,180,1,5.0,Bahçelievler,Siyavuşpaşa Mah.,6
10500000,120,0,0.0,Bahçelievler,Bahçelievler Mah.,4
3650000,75,2,5.0,Beylikdüzü,Adnan Kahveci Mah.,2
